iso3,GID_1,GID_2,area,population,pop_density_sqkm
AGO,AGO.17_1,AGO.17.9_1,1326.5549280878754,25875,19.50541168867902
AGO,AGO.17_1,AGO.17.10_1,2029.6367364583637,86355,42.54702255275793
AGO,AGO.17_1,AGO.17.11_1,1149.2156300019612,22686,19.74042069020701
AGO,AGO.17_1,AGO.17.12_1,6637.417516479521,82181,12.381472130683248
AGO,AGO.17_1,AGO.17.13_1,3444.3638073459224,21102,6.126530523574479
AGO,AGO.17_1,AGO.17.14_1,4850.565262399549,40885,8.428914526092656
AGO,AGO.17_1,AGO.17.15_1,2476.591774082496,40049,16.17101389866199
AGO,AGO.17_1,AGO.17.16_1,1345.7674169641602,313894,233.24535580456802
AGO,AGO.18_1,AGO.18.1_1,3537.2862881180968,89789,25.383582974780772
AGO,AGO.18_1,AGO.18.2_1,5858.329878364806,242394,41.37595612278114
AGO,AGO.18_1,AGO.18.3_1,8795.423037106915,60518,6.880624131969692
AGO,AGO.18_1,AGO.18.4_1,5451.29458825861,31679,5.811280144028999
AGO,AGO.18_1,AGO.18.5_1,4842.870597313737,271790,56.12167299096482
AGO,AGO.18_1,AGO.18.6_1,8330.934149189581,59897,7.189709932568207
ZWE,ZWE.1_1,ZWE.1.1_1,486.1826699275159,629676,1295.1428320015546
ZWE,ZWE.2_1,ZWE.2.1_1,939.9537959593368,2291719,2438.1187775948315
ZWE,ZWE.3_1,ZWE.3.1_1,5663.724400646741,269853,47.645856491390276
ZWE,ZWE.3_1,ZWE.3.2_1,3515.723137006382,145882,41.4941661544537
ZWE,ZWE.3_1,ZWE.3.3_1,5549.966046041156,352665,63.543631992408194
ZWE,ZWE.3_1,ZWE.3.4_1,8264.57324729591,329729,39.896675863800255
ZWE,ZWE.3_1,ZWE.3.5_1,5959.206141714261,491134,82.41601118009277
ZWE,ZWE.3_1,ZWE.3.6_1,2693.702731010635,183378,68.07655421249822
ZWE,ZWE.3_1,ZWE.3.7_1,5974.299446582633,139378,23.329597260098133
ZWE,ZWE.4_1,ZWE.4.1_1,2399.711760347046,189962,79.16034047877805
